## x y z - - ze - -
# x y dc/dx dc/dy d2c/dxdx d2c/dxdy d2c/dydy Delta(c)
-1 -1 -0 -0 0 5.05146 0 0
-1 -0.98 0.0992269 0 -0.180027 4.87164 0 -0.180027
-1 -0.96 0.194882 0 -0.358079 4.69429 0 -0.358079
-1 -0.94 0.287015 0 -0.534201 4.51946 0 -0.534201
-1 -0.92 0.375678 0 -0.708433 4.34724 0 -0.708433
-1 -0.9 0.460923 0 -0.880812 4.17768 0 -0.880812
-1 -0.88 0.542803 0 -1.05137 4.01087 0 -1.05137
-1 -0.86 0.621376 0 -1.22013 3.84686 0 -1.22013
-1 -0.84 0.696697 0 -1.38713 3.68574 0 -1.38713
-1 -0.82 0.768825 0 -1.55237 3.52757 0 -1.55237
-1 -0.8 0.83782 0 -1.71587 3.37242 0 -1.71587
-1 -0.78 0.903743 0 -1.87763 3.22039 0 -1.87763
-1 -0.76 0.966657 0 -2.03765 3.07152 0 -2.03765
-1 -0.74 1.02663 0 -2.19592 2.92591 0 -2.19592
-1 -0.72 1.08371 0 -2.35242 2.78361 0 -2.35242
-1 -0.7 1.13799 0 -2.50712 2.64471 0 -2.50712
-1 -0.68 1.18953 0 -2.65999 2.50926 0 -2.65999
-1 -0.66 1.23839 0 -2.81097 2.37734 0 -2.81097
-1 -0.64 1.28464 0 -2.96001 2.24902 0 -2.96001
-1 -0.62 1.32837 0 -3.10705 2.12434 0 -3.10705
-1 -0.6 1.36964 0 -3.252 2.00337 0 -3.252
-1 -0.58 1.40853 0 -3.39476 1.88616 0 -3.39476
-1 -0.56 1.44511 0 -3.53525 1.77276 0 -3.53525
-1 -0.54 1.47947 0 -3.67334 1.6632 0 -3.67334
-1 -0.52 1.51167 0 -3.8089 1.55751 0 -3.8089
-1 -0.5 1.54179 0 -3.94179 1.45573 0 -3.94179
-1 -0.48 1.56992 0 -4.07187 1.35786 0 -4.07187
-1 -0.46 1.59613 0 -4.19897 1.26391 0 -4.19897
-1 -0.44 1.62051 0 -4.32292 1.17388 0 -4.32292
-1 -0.42 1.64312 0 -4.44352 1.08775 0 -4.44352
-1 -0.4 1.66404 0 -4.56059 1.00549 0 -4.56059
-1 -0.38 1.68336 0 -4.67392 0.927064 0 -4.67392
-1 -0.36 1.70115 0 -4.7833 0.852413 0 -4.7833
-1 -0.34 1.71748 0 -4.88851 0.781467 0 -4.88851
-1 -0.32 1.73243 0 -4.98933 0.714142 0 -4.98933
-1 -0.3 1.74607 0 -5.08552 0.650338 0 -5.08552
-1 -0.28 1.75847 0 -5.17687 0.589938 0 -5.17687
-1 -0.26 1.76969 0 -5.26313 0.53281 0 -5.26313
-1 -0.24 1.7798 0 -5.3441 0.478805 0 -5.3441
-1 -0.22 1.78886 0 -5.41954 0.427758 0 -5.41954
-1 -0.2 1.79693 0 -5.48924 0.37949 0 -5.48924
-1 -0.18 1.80406 0 -5.55299 0.333804 0 -5.55299
-1 -0.16 1.8103 0 -5.61061 0.29049 0 -5.61061
-1 -0.14 1.81569 0 -5.66191 0.249323 0 -5.66191
-1 -0.12 1.82028 0 -5.70672 0.210065 0 -5.70672
-1 -0.1 1.82411 0 -5.7449 0.172467 0 -5.7449
-1 -0.08 1.82719 0 -5.77632 0.136269 0 -5.77632
-1 -0.06 1.82956 0 -5.80087 0.101202 0 -5.80087
-1 -0.04 1.83125 0 -5.81847 0.06699 0 -5.81847
